w_connect,w_block,w_center,win_rate_vs_random,wins_vs_random,losses_vs_random,draws_vs_random,avg_turns_win_vs_random,avg_turns_loss_vs_random,win_rate_vs_intuitive_gamer,wins_vs_intuitive_gamer,losses_vs_intuitive_gamer,draws_vs_intuitive_gamer,avg_turns_win_vs_intuitive_gamer,avg_turns_loss_vs_intuitive_gamer,win_rate_vs_mcts,wins_vs_mcts,losses_vs_mcts,draws_vs_mcts,avg_turns_win_vs_mcts,avg_turns_loss_vs_mcts
0.0,0.0,0.0,0.5,25,14,11,7.52,7.5,0.36,18,29,3,8.06,6.41,0.08,4,38,8,7.0,6.63
0.0,0.0,0.2,0.52,26,20,4,7.54,7.75,0.24,12,33,5,7.83,6.85,0.1,5,38,7,7.4,7.08
0.0,0.0,0.4,0.62,31,12,7,7.42,7.33,0.3,15,28,7,7.47,6.54,0.12,6,38,6,6.67,6.71
0.0,0.0,0.6,0.6,30,16,4,7.57,7.69,0.36,18,30,2,7.28,6.43,0.12,6,38,6,6.67,7.05
0.0,0.0,0.8,0.5,25,18,7,7.2,7.72,0.42,21,27,2,7.29,6.19,0.1,5,39,6,7.0,6.9
0.0,0.0,1.0,0.42,21,22,7,7.95,7.95,0.38,19,28,3,7.47,6.43,0.08,4,38,8,6.0,6.63
0.0,0.0,1.2,0.52,26,16,8,7.12,7.62,0.36,18,27,5,7.44,6.41,0.12,6,34,10,7.83,6.62
0.0,0.0,1.4,0.48,24,17,9,7.54,7.82,0.4,20,28,2,7.65,6.68,0.16,8,32,10,6.75,6.66
0.0,0.0,1.6,0.56,28,14,8,7.43,7.29,0.56,28,21,1,7.21,6.76,0.08,4,38,8,5.5,6.79
0.0,0.0,1.8,0.68,34,11,5,7.5,7.09,0.48,24,24,2,7.88,6.79,0.1,5,35,10,6.6,6.91
0.0,0.0,2.0,0.54,27,18,5,7.37,7.44,0.48,24,24,2,7.21,6.79,0.04,2,39,9,6.0,6.72
0.0,0.2,0.0,0.52,26,17,7,7.69,7.24,0.32,16,29,5,8.0,6.9,0.08,4,38,8,7.5,6.55
0.0,0.2,0.2,0.5,25,17,8,7.68,7.59,0.26,13,34,3,7.46,6.59,0.14,7,32,11,6.14,6.88
0.0,0.2,0.4,0.54,27,15,8,7.44,7.67,0.4,20,25,5,7.6,6.6,0.18,9,38,3,6.78,6.53
0.0,0.2,0.6,0.46,23,22,5,7.7,7.77,0.28,14,31,5,7.5,6.48,0.1,5,39,6,6.6,6.97
0.0,0.2,0.8,0.44,22,19,9,8.05,7.32,0.44,22,26,2,7.09,6.77,0.14,7,37,6,7.14,6.57
0.0,0.2,1.0,0.6,30,15,5,7.7,7.53,0.24,12,27,11,6.67,6.93,0.16,8,35,7,6.75,6.46
0.0,0.2,1.2,0.56,28,17,5,7.21,7.41,0.34,17,28,5,7.59,6.68,0.14,7,32,11,6.43,6.56
0.0,0.2,1.4,0.6,30,11,9,7.37,8.0,0.34,17,27,6,7.82,6.63,0.08,4,35,11,6.5,6.83
0.0,0.2,1.6,0.64,32,12,6,7.41,7.83,0.42,21,26,3,7.86,6.38,0.16,8,33,9,7.5,6.67
0.0,0.2,1.8,0.6,30,17,3,7.03,7.29,0.46,23,21,6,7.22,6.86,0.08,4,40,6,6.5,6.6
0.0,0.2,2.0,0.5,25,20,5,7.32,7.3,0.5,25,20,5,7.48,6.8,0.14,7,32,11,6.71,6.5
0.0,0.4,0.0,0.66,33,13,4,7.39,7.0,0.28,14,33,3,7.57,6.48,0.14,7,40,3,6.43,6.6
0.0,0.4,0.2,0.4,20,20,10,7.45,8.25,0.32,16,33,1,7.38,6.61,0.12,6,36,8,6.67,6.69
0.0,0.4,0.4,0.46,23,18,9,7.17,7.61,0.3,15,30,5,7.33,6.83,0.1,5,37,8,7.0,6.54
0.0,0.4,0.6,0.44,22,22,6,7.36,7.5,0.36,18,29,3,7.39,6.76,0.14,7,41,2,6.71,6.73
0.0,0.4,0.8,0.62,31,14,5,7.42,7.64,0.4,20,27,3,7.4,6.48,0.16,8,32,10,7.0,6.69
0.0,0.4,1.0,0.58,29,14,7,7.9,7.43,0.28,14,34,2,7.86,6.74,0.1,5,37,8,7.0,6.7
0.0,0.4,1.2,0.46,23,17,10,7.7,7.41,0.3,15,30,5,7.0,6.67,0.06,3,38,9,6.33,6.76
0.0,0.4,1.4,0.42,21,18,11,7.71,7.56,0.42,21,25,4,7.67,6.4,0.14,7,38,5,6.86,6.63
0.0,0.4,1.6,0.5,25,20,5,7.56,7.45,0.42,21,23,6,7.0,6.74,0.12,6,33,11,6.0,6.85
0.0,0.4,1.8,0.6,30,17,3,7.53,7.82,0.34,17,24,9,7.06,6.58,0.12,6,35,9,6.67,6.57
0.0,0.4,2.0,0.5,25,16,9,7.32,7.81,0.38,19,26,5,7.37,6.92,0.12,6,32,12,6.83,6.66
0.0,0.6,0.0,0.48,24,15,11,7.88,7.73,0.36,18,30,2,7.78,6.4,0.12,6,38,6,6.67,6.68
0.0,0.6,0.2,0.48,24,20,6,7.29,7.75,0.34,17,32,1,7.35,6.56,0.14,7,36,7,7.0,6.72
0.0,0.6,0.4,0.42,21,20,9,7.52,7.7,0.26,13,33,4,7.62,6.55,0.04,2,37,11,8.0,6.57
0.0,0.6,0.6,0.46,23,15,12,7.35,7.93,0.24,12,29,9,7.25,6.62,0.1,5,38,7,6.6,6.58
0.0,0.6,0.8,0.5,25,16,9,7.48,7.31,0.46,23,21,6,7.7,6.67,0.14,7,36,7,6.71,6.64
0.0,0.6,1.0,0.46,23,19,8,7.48,7.63,0.28,14,32,4,7.36,6.59,0.12,6,33,11,6.0,6.64
0.0,0.6,1.2,0.54,27,15,8,7.7,7.27,0.38,19,29,2,7.26,6.72,0.14,7,31,12,6.43,6.32
0.0,0.6,1.4,0.44,22,20,8,7.27,7.75,0.4,20,21,9,7.4,6.29,0.1,5,34,11,7.0,6.62
