w_connect,w_block,w_center,win_rate_vs_random,wins_vs_random,losses_vs_random,draws_vs_random,avg_turns_win_vs_random,avg_turns_loss_vs_random,win_rate_vs_intuitive_gamer,wins_vs_intuitive_gamer,losses_vs_intuitive_gamer,draws_vs_intuitive_gamer,avg_turns_win_vs_intuitive_gamer,avg_turns_loss_vs_intuitive_gamer,win_rate_vs_mcts,wins_vs_mcts,losses_vs_mcts,draws_vs_mcts,avg_turns_win_vs_mcts,avg_turns_loss_vs_mcts
0.0,0.0,0.0,0.68,34,10,6,7.65,7.2,0.46,23,21,6,7.78,6.48,0.06,3,42,5,6.33,6.76
0.0,0.0,0.2,0.68,34,11,5,7.24,7.09,0.38,19,29,2,7.53,6.14,0.06,3,42,5,5.67,6.62
0.0,0.0,0.4,0.7,35,12,3,7.57,7.0,0.34,17,32,1,7.47,6.56,0.06,3,43,4,5.67,7.02
0.0,0.0,0.6,0.58,29,15,6,7.76,7.2,0.32,16,31,3,7.62,6.32,0.14,7,35,8,6.14,6.74
0.0,0.0,0.8,0.66,33,11,6,7.24,7.09,0.42,21,26,3,7.48,6.62,0.06,3,35,12,6.33,6.63
0.0,0.0,1.0,0.52,26,16,8,7.08,6.88,0.36,18,28,4,7.22,6.36,0.12,6,41,3,7.0,6.83
0.0,0.0,1.2,0.64,32,11,7,7.31,6.91,0.46,23,25,2,7.78,6.32,0.06,3,36,11,7.67,6.94
0.0,0.0,1.4,0.66,33,12,5,7.24,6.83,0.54,27,21,2,7.15,6.76,0.1,5,37,8,6.6,6.65
0.0,0.0,1.6,0.82,41,8,1,7.68,7.0,0.52,26,23,1,7.46,6.61,0.26,13,30,7,6.38,6.87
0.0,0.0,1.8,0.58,29,15,6,7.21,7.33,0.48,24,24,2,7.67,6.42,0.18,9,35,6,6.56,6.63
0.0,0.0,2.0,0.58,29,17,4,7.0,7.18,0.58,29,18,3,7.41,6.44,0.24,12,32,6,6.83,6.75
